질문번호,질문,1순위,2순위,3순위,답변항목 설명
q19_4,"19. 다음 중 귀하께서 이웃으로 삼고 싶지 않은 집단이 있으십니까? 있다면 모두 선택해 주십시오.
(중복응답) (넷째자리)","nan (1216명, 76.6%)","8.0 (175명, 11.0%)","5.0 (97명, 6.1%)","① 없음
② 약물 중독자
③ 인종이 다른 사람
④ 에이즈 감염자
⑤ 이민자 또는 외국인 근로자
⑥ 동성애자
⑦ 종교가 다른 사람
⑧ 음주 사고가 잦은 사람
⑨ 결혼하지 않고 함께 사는 커플
⑩ 새터민
⑪ 기타 (            )"
q19_5,"19. 다음 중 귀하께서 이웃으로 삼고 싶지 않은 집단이 있으십니까? 있다면 모두 선택해 주십시오.
(중복응답) (다섯째자리)","nan (1411명, 88.9%)","6.0 (79명, 5.0%)","8.0 (56명, 3.5%)","① 없음
② 약물 중독자
③ 인종이 다른 사람
④ 에이즈 감염자
⑤ 이민자 또는 외국인 근로자
⑥ 동성애자
⑦ 종교가 다른 사람
⑧ 음주 사고가 잦은 사람
⑨ 결혼하지 않고 함께 사는 커플
⑩ 새터민
⑪ 기타 (            )"
q19_6,"19. 다음 중 귀하께서 이웃으로 삼고 싶지 않은 집단이 있으십니까? 있다면 모두 선택해 주십시오.
(중복응답) (여섯째자리)","nan (1481명, 93.3%)","7.0 (44명, 2.8%)","8.0 (42명, 2.6%)","① 없음
② 약물 중독자
③ 인종이 다른 사람
④ 에이즈 감염자
⑤ 이민자 또는 외국인 근로자
⑥ 동성애자
⑦ 종교가 다른 사람
⑧ 음주 사고가 잦은 사람
⑨ 결혼하지 않고 함께 사는 커플
⑩ 새터민
⑪ 기타 (            )"
q19_7,"19. 다음 중 귀하께서 이웃으로 삼고 싶지 않은 집단이 있으십니까? 있다면 모두 선택해 주십시오.
(중복응답) (일곱째자리)","nan (1515명, 95.5%)","8.0 (43명, 2.7%)","10.0 (23명, 1.4%)","① 없음
② 약물 중독자
③ 인종이 다른 사람
④ 에이즈 감염자
⑤ 이민자 또는 외국인 근로자
⑥ 동성애자
⑦ 종교가 다른 사람
⑧ 음주 사고가 잦은 사람
⑨ 결혼하지 않고 함께 사는 커플
⑩ 새터민
⑪ 기타 (            )"
q19_8,"19. 다음 중 귀하께서 이웃으로 삼고 싶지 않은 집단이 있으십니까? 있다면 모두 선택해 주십시오.
(중복응답) (여덟째자리)","nan (1544명, 97.3%)","9.0 (30명, 1.9%)","10.0 (12명, 0.8%)","① 없음
② 약물 중독자
③ 인종이 다른 사람
④ 에이즈 감염자
⑤ 이민자 또는 외국인 근로자
⑥ 동성애자
⑦ 종교가 다른 사람
⑧ 음주 사고가 잦은 사람
⑨ 결혼하지 않고 함께 사는 커플
⑩ 새터민
⑪ 기타 (            )"
q19_9,"19. 다음 중 귀하께서 이웃으로 삼고 싶지 않은 집단이 있으십니까? 있다면 모두 선택해 주십시오.
(중복응답) (아홉째자리)","nan (1563명, 98.5%)","10.0 (24명, 1.5%)",,"① 없음
② 약물 중독자
③ 인종이 다른 사람
④ 에이즈 감염자
⑤ 이민자 또는 외국인 근로자
⑥ 동성애자
⑦ 종교가 다른 사람
⑧ 음주 사고가 잦은 사람
⑨ 결혼하지 않고 함께 사는 커플
⑩ 새터민
⑪ 기타 (            )"
q19_10,"19. 다음 중 귀하께서 이웃으로 삼고 싶지 않은 집단이 있으십니까? 있다면 모두 선택해 주십시오.
(중복응답) (열째자리)","nan (1587명, 100.0%)",,,"① 없음
② 약물 중독자
③ 인종이 다른 사람
④ 에이즈 감염자
⑤ 이민자 또는 외국인 근로자
⑥ 동성애자
⑦ 종교가 다른 사람
⑧ 음주 사고가 잦은 사람
⑨ 결혼하지 않고 함께 사는 커플
⑩ 새터민
⑪ 기타 (            )"
q19_op,19. (기타 오픈응답),"nan (1567명, 98.7%)","성범죄자 (2명, 0.1%)","범죄자 (2명, 0.1%)",
q20_1,"20. 귀하는 다음과 같은 내용에 어느 정도 동의하십니까? 다음 항목별로 해당하는 정도를 선택하여 주십시오.
_1. 일자리가 부족할 때는 여성보다 남성이 일자리를 가질 권리가 더 있어야 한다.","3 (459명, 28.9%)","2 (445명, 28.0%)","1 (374명, 23.6%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 동의도 반대도 하지 않는다
④ 동의한다
⑤ 매우 동의한다"
q20_2,"20. 귀하는 다음과 같은 내용에 어느 정도 동의하십니까? 다음 항목별로 해당하는 정도를 선택하여 주십시오.
_2. 대체로 남성이 여성보다 더 나은 정치 지도자가 될 수 있다.","3 (454명, 28.6%)","2 (441명, 27.8%)","1 (427명, 26.9%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 동의도 반대도 하지 않는다
④ 동의한다
⑤ 매우 동의한다"
q20_3,"20. 귀하는 다음과 같은 내용에 어느 정도 동의하십니까? 다음 항목별로 해당하는 정도를 선택하여 주십시오.
_3. 대학 교육은 여학생보다 남학생에게 더 중요하다.","3 (475명, 29.9%)","1 (473명, 29.8%)","2 (398명, 25.1%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 동의도 반대도 하지 않는다
④ 동의한다
⑤ 매우 동의한다"
q21,"21. 귀 댁에서 컴퓨터, 스마트폰(태블릿 PC 포함), 게임기, TV 등을 통해 인터넷(무선인터넷 포함) 접속이 가능하십니까?","1 (1521명, 95.8%)","2 (66명, 4.2%)",,"① 네		
② 아니오"
q21_1,21-1. 귀댁에서 인터넷에 접속하지 않는 이유는 무엇입니까? 해당사항을 모두 선택해 주십시오. ,"nan (1521명, 95.8%)","1.0 (39명, 2.5%)","4.0 (8명, 0.5%)","① 관심 또는 필요가 없어서
② 이용할 자신이 없거나 방법을 몰라서
③ 이용비용이 부담스러워서
④ 콘텐츠 내용이 해로울 것 같아서(자녀 유해사이트 접근 우려 등)
⑤ 사생활 침해가 우려되어서(개인정보 유출 등)
⑥ 보안문제가 우려되어서(바이러스 등)
⑦ 다른 곳에서 인터넷을 이용할 수 있기 때문에
⑧ 기타 (                       )"
q21_1_op,21-1. (기타 오픈응답),"nan (1587명, 100.0%)",,,
q22,22. 귀댁에서는 고정형 인터넷 광대역 서비스 (속도 256kbit/s 이상)에 가입되어 있습니까?,"1 (1427명, 89.9%)","2 (160명, 10.1%)",,"① 네 			
② 아니오"
q22_1,22-1. 해당 서비스에 가입하신 지 얼마나 되셨습니까?,"5.0 (926명, 58.3%)","3.0 (251명, 15.8%)","4.0 (173명, 10.9%)","① 6개월 이내
② 6개월~1년
③ 1~3년
④ 3~5년
⑤ 5년 이상 "
q23,23. [인터넷 이용] 귀하는 최근 언제 인터넷을 이용하셨습니까? ,"1 (1361명, 85.8%)","2 (105명, 6.6%)","3 (52명, 3.3%)","① 최근 24시간 이내
② 24시간 초과 ~ 1주일 이내
③ 1주일 초과 ~ 1개월 이내
④ 1개월 초과 ~ 3개월 이내
⑤ 3개월 초과 ~ 1년 이내"
q24_1,"24. [인터넷 활용] 귀하는 인터넷을 통해 주로 무엇을 하십니까? 우선순위에 따라 3가지 선택해 주십시오. 
(1순위)","2 (632명, 39.8%)","3 (321명, 20.2%)","1 (262명, 16.5%)","① 뉴스나 시사정보 보기
② 유튜브, 넷플릭스 등 영상 콘텐츠 시청
③ 카카오톡, 메신저 등 채팅 및 소셜미디어 사용
④ 쇼핑, 배달 등 온라인 구매
⑤ 인터넷 뱅킹 또는 공과금 납부
⑥ 건강 관련 정보 검색 또는 병원 예약 등
⑦ 직업 및 직장 관련 작업 (화상회의, 구직활동 및 입사지원 등)
⑧ 온라인 교육 또는 학습(예: 대학 사이버 강좌, 직장인 온라인 직무교육 등)
⑨ 게임
⑩ 웹툰 감상
⑪ 공공서비스 이용 (예: 민원신청, 행정서비스 등)
⑫ 기타 (                       )"
q24_2,"24. [인터넷 활용] 귀하는 인터넷을 통해 주로 무엇을 하십니까? 우선순위에 따라 3가지 선택해 주십시오. 
(2순위)","3 (424명, 26.7%)","2 (313명, 19.7%)","4 (207명, 13.0%)","① 뉴스나 시사정보 보기
② 유튜브, 넷플릭스 등 영상 콘텐츠 시청
③ 카카오톡, 메신저 등 채팅 및 소셜미디어 사용
④ 쇼핑, 배달 등 온라인 구매
⑤ 인터넷 뱅킹 또는 공과금 납부
⑥ 건강 관련 정보 검색 또는 병원 예약 등
⑦ 직업 및 직장 관련 작업 (화상회의, 구직활동 및 입사지원 등)
⑧ 온라인 교육 또는 학습(예: 대학 사이버 강좌, 직장인 온라인 직무교육 등)
⑨ 게임
⑩ 웹툰 감상
⑪ 공공서비스 이용 (예: 민원신청, 행정서비스 등)
⑫ 기타 (                       )"
q24_3,"24. [인터넷 활용] 귀하는 인터넷을 통해 주로 무엇을 하십니까? 우선순위에 따라 3가지 선택해 주십시오. 
(3순위)","4 (368명, 23.2%)","3 (235명, 14.8%)","1 (163명, 10.3%)","① 뉴스나 시사정보 보기
② 유튜브, 넷플릭스 등 영상 콘텐츠 시청
③ 카카오톡, 메신저 등 채팅 및 소셜미디어 사용
④ 쇼핑, 배달 등 온라인 구매
⑤ 인터넷 뱅킹 또는 공과금 납부
⑥ 건강 관련 정보 검색 또는 병원 예약 등
⑦ 직업 및 직장 관련 작업 (화상회의, 구직활동 및 입사지원 등)
⑧ 온라인 교육 또는 학습(예: 대학 사이버 강좌, 직장인 온라인 직무교육 등)
⑨ 게임
⑩ 웹툰 감상
⑪ 공공서비스 이용 (예: 민원신청, 행정서비스 등)
⑫ 기타 (                       )"
q24_op,24. (기타 오픈응답),"nan (1586명, 99.9%)","자소서 수정 (1명, 0.1%)",,
q25,"25. 귀댁에서는 인터넷, 스마트폰 등 통신 서비스 가입에 따른 비용이 얼마나 부담되십니까?","4 (509명, 32.1%)","3 (445명, 28.0%)","2 (426명, 26.8%)","① 전혀 부담되지 않는다
② 별로 부담되지 않는다
③ 보통이다
④ 조금 부담된다
⑤ 매우 부담된다"
q26_1,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
① 문서에서 복사・붙여넣기 기능을 사용하거나 파일, 폴더 등을 다른곳으로 복사하거나 이동하기","1 (1479명, 93.2%)","0 (108명, 6.8%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q26_2,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
② 이메일, 문자, 메신저(카카오톡 등)에 문서, 사진, 영상 등을 첨부하여 보내기","1 (1500명, 94.5%)","0 (87명, 5.5%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q26_3,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
③ 엑셀에서 기본적인 수식 사용하기","1 (1359명, 85.6%)","0 (228명, 14.4%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q26_4,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
④ 새 장치 연결 및 설치(프린터, 모뎀, 메모리 등)","1 (1327명, 83.6%)","0 (260명, 16.4%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q26_5,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
⑤ 소프트웨어 검색, 다운로드, 설치","1 (1395명, 87.9%)","0 (192명, 12.1%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q26_6,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
⑥ 한글, 파워포인트 등을 사용하여 발표 자료 만들기","1 (1341명, 84.5%)","0 (246명, 15.5%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q26_7,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
⑦ 컴퓨터와 다른 기기 간의 파일 전송(카메라, 스마트폰 등으로부터 사진 및 음악 전송 포함)","1 (1375명, 86.6%)","0 (212명, 13.4%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q26_8,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
⑧ 온라인에서 찾은 정보의 신뢰성 확인하기(다른 출처의 정보와 비교・확인하기)","1 (1339명, 84.4%)","0 (248명, 15.6%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q26_9,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
⑨  기기나 계정의 보완 조치 설정하기(암호설정, 로그인 시도 알림)","1 (1245명, 78.4%)","0 (342명, 21.6%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q26_10,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
⑩ 개인정보가 앱/온라인 계정을 통해 불필요하거나 많이 제공/노출되지 않도록 설정","1 (1118명, 70.4%)","0 (469명, 29.6%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q26_11,"26. [디지털 활용 능력] 다음 디지털 활용 능력 중에서 귀하께서 가능하신 것은 무엇입니까? 
⑪ 특정 언어를 사용한 컴퓨터 프로그래밍, 앱 개발(자바, 파이썬, C++등)","0 (1294명, 81.5%)","1 (293명, 18.5%)",,"해당 선택지에 '가능'으로 응답한 경우 1, '불가능'으로 응답한 경우 0"
q27_1,"27. 다음 중 인공지능 기술을 기반으로 서비스되는 분야에 대한 이용 경험이 있는 분야는 무엇입니까? 해당사항을 모두 선택해 주십시오. 
① 교육・학습","1 (950명, 59.9%)","2 (637명, 40.1%)",,"① 있음
② 없음"
q27_2,"27. 다음 중 인공지능 기술을 기반으로 서비스되는 분야에 대한 이용 경험이 있는 분야는 무엇입니까? 해당사항을 모두 선택해 주십시오. 
② 주거 편의","1 (1124명, 70.8%)","2 (463명, 29.2%)",,"① 있음
② 없음"
q27_3,"27. 다음 중 인공지능 기술을 기반으로 서비스되는 분야에 대한 이용 경험이 있는 분야는 무엇입니까? 해당사항을 모두 선택해 주십시오. 
③ 커뮤니케이션/친교","1 (1099명, 69.3%)","2 (488명, 30.7%)",,"① 있음
② 없음"
q27_4,"27. 다음 중 인공지능 기술을 기반으로 서비스되는 분야에 대한 이용 경험이 있는 분야는 무엇입니까? 해당사항을 모두 선택해 주십시오. 
④ 미디어","1 (1106명, 69.7%)","2 (481명, 30.3%)",,"① 있음
② 없음"
q27_5,"27. 다음 중 인공지능 기술을 기반으로 서비스되는 분야에 대한 이용 경험이 있는 분야는 무엇입니까? 해당사항을 모두 선택해 주십시오. 
⑤ 금융","1 (842명, 53.1%)","2 (745명, 46.9%)",,"① 있음
② 없음"
q27_6,"27. 다음 중 인공지능 기술을 기반으로 서비스되는 분야에 대한 이용 경험이 있는 분야는 무엇입니까? 해당사항을 모두 선택해 주십시오. 
⑥ 교통","1 (990명, 62.4%)","2 (597명, 37.6%)",,"① 있음
② 없음"
q27_7,"27. 다음 중 인공지능 기술을 기반으로 서비스되는 분야에 대한 이용 경험이 있는 분야는 무엇입니까? 해당사항을 모두 선택해 주십시오. 
⑦ 헬스케어","1 (830명, 52.3%)","2 (757명, 47.7%)",,"① 있음
② 없음"
q27_8,"27. 다음 중 인공지능 기술을 기반으로 서비스되는 분야에 대한 이용 경험이 있는 분야는 무엇입니까? 해당사항을 모두 선택해 주십시오. 
⑧ AI 기반 대화형 정보검색","1 (1168명, 73.6%)","2 (419명, 26.4%)",,"① 있음
② 없음"
q27_9,"27. 다음 중 인공지능 기술을 기반으로 서비스되는 분야에 대한 이용 경험이 있는 분야는 무엇입니까? 해당사항을 모두 선택해 주십시오. 
⑨  기타","2 (1475명, 92.9%)","1 (112명, 7.1%)",,"① 있음
② 없음"
q27_op,27. (기타 오픈응답),"nan (1582명, 99.7%)","직장내 AI 소프트웨어 (1명, 0.1%)","컴 잘모름 (1명, 0.1%)",
q27_1_1,"27-1. 각 인공지능 기술 기반의 서비스가 일상생활에서 얼마나 필요하다고 생각하십니까?
① 교육・학습 ","4 (819명, 51.6%)","3 (364명, 22.9%)","5 (297명, 18.7%)","① 전혀 필요하지 않음
② 필요하지 않음
③ 보통
④ 필요함
⑤ 매우 필요함"
q27_1_2,"27-1. 각 인공지능 기술 기반의 서비스가 일상생활에서 얼마나 필요하다고 생각하십니까?
② 주거 편의","4 (718명, 45.2%)","5 (451명, 28.4%)","3 (288명, 18.1%)","① 전혀 필요하지 않음
② 필요하지 않음
③ 보통
④ 필요함
⑤ 매우 필요함"
q27_1_3,"27-1. 각 인공지능 기술 기반의 서비스가 일상생활에서 얼마나 필요하다고 생각하십니까?
③ 커뮤니케이션/친교","4 (694명, 43.7%)","3 (384명, 24.2%)","5 (382명, 24.1%)","① 전혀 필요하지 않음
② 필요하지 않음
③ 보통
④ 필요함
⑤ 매우 필요함"
q27_1_4,"27-1. 각 인공지능 기술 기반의 서비스가 일상생활에서 얼마나 필요하다고 생각하십니까?
④ 미디어","4 (717명, 45.2%)","3 (388명, 24.4%)","5 (383명, 24.1%)","① 전혀 필요하지 않음
② 필요하지 않음
③ 보통
④ 필요함
⑤ 매우 필요함"
q27_1_5,"27-1. 각 인공지능 기술 기반의 서비스가 일상생활에서 얼마나 필요하다고 생각하십니까?
⑤ 금융","4 (623명, 39.3%)","3 (427명, 26.9%)","5 (426명, 26.8%)","① 전혀 필요하지 않음
② 필요하지 않음
③ 보통
④ 필요함
⑤ 매우 필요함"
q27_1_6,"27-1. 각 인공지능 기술 기반의 서비스가 일상생활에서 얼마나 필요하다고 생각하십니까?
⑥ 교통","4 (688명, 43.4%)","5 (484명, 30.5%)","3 (339명, 21.4%)","① 전혀 필요하지 않음
② 필요하지 않음
③ 보통
④ 필요함
⑤ 매우 필요함"
q27_1_7,"27-1. 각 인공지능 기술 기반의 서비스가 일상생활에서 얼마나 필요하다고 생각하십니까?
⑦ 헬스케어","4 (741명, 46.7%)","3 (364명, 22.9%)","5 (349명, 22.0%)","① 전혀 필요하지 않음
② 필요하지 않음
③ 보통
④ 필요함
⑤ 매우 필요함"
q27_1_8,"27-1. 각 인공지능 기술 기반의 서비스가 일상생활에서 얼마나 필요하다고 생각하십니까?
⑧ AI 기반 대화형 정보검색","4 (711명, 44.8%)","5 (479명, 30.2%)","3 (310명, 19.5%)","① 전혀 필요하지 않음
② 필요하지 않음
③ 보통
④ 필요함
⑤ 매우 필요함"
q27_2_1,"27-2. 각 서비스별로 향후 이용하실 의향이 있으십니까?
① 교육・학습","1 (1232명, 77.6%)","2 (355명, 22.4%)",,"① 있음
② 없음"
q27_2_2,"27-2. 각 서비스별로 향후 이용하실 의향이 있으십니까?
② 주거 편의","1 (1330명, 83.8%)","2 (257명, 16.2%)",,"① 있음
② 없음"
q27_2_3,"27-2. 각 서비스별로 향후 이용하실 의향이 있으십니까?
③ 커뮤니케이션/친교","1 (1237명, 77.9%)","2 (350명, 22.1%)",,"① 있음
② 없음"
q27_2_4,"27-2. 각 서비스별로 향후 이용하실 의향이 있으십니까?
④ 미디어","1 (1279명, 80.6%)","2 (308명, 19.4%)",,"① 있음
② 없음"
q27_2_5,"27-2. 각 서비스별로 향후 이용하실 의향이 있으십니까?
⑤ 금융","1 (1238명, 78.0%)","2 (349명, 22.0%)",,"① 있음
② 없음"
q27_2_6,"27-2. 각 서비스별로 향후 이용하실 의향이 있으십니까?
⑥ 교통","1 (1308명, 82.4%)","2 (279명, 17.6%)",,"① 있음
② 없음"
q27_2_7,"27-2. 각 서비스별로 향후 이용하실 의향이 있으십니까?
⑦ 헬스케어","1 (1237명, 77.9%)","2 (350명, 22.1%)",,"① 있음
② 없음"
q27_2_8,"27-2. 각 서비스별로 향후 이용하실 의향이 있으십니까?
⑧ AI 기반 대화형 정보검색","1 (1280명, 80.7%)","2 (307명, 19.3%)",,"① 있음
② 없음"
q27_2_9,"27-2. 각 서비스별로 향후 이용하실 의향이 있으십니까?
⑨  기타","2 (1347명, 84.9%)","1 (240명, 15.1%)",,"① 있음
② 없음"
q27_2_op,27-2. (기타 오픈응답),"nan (1585명, 99.9%)","글쓰기 (1명, 0.1%)","사물인터넷 (1명, 0.1%)",
q28_1,"28. [인공지능] 귀하는 평소 인공지능 서비스에 대해 어떤 생각을 가지고 계십니까? 다음 항목별로 해당하는 정도를 선택하여 주십시오.
_1. 인공지능 서비스가 내 일상이나 업무에 긍정적인 영향을 미칠 것이다","6 (662명, 41.7%)","5 (381명, 24.0%)","7 (277명, 17.5%)","① 전혀 그렇지 않다
② 
③ 
④ 보통이다
⑤ 
⑥ 
⑦ 매우 그렇다"
q28_2,"28. [인공지능] 귀하는 평소 인공지능 서비스에 대해 어떤 생각을 가지고 계십니까? 다음 항목별로 해당하는 정도를 선택하여 주십시오.
_2. 인공지능 기술발전이 우리 사회 전반에 긍정적인 영향을 미칠 것이다","6 (521명, 32.8%)","5 (432명, 27.2%)","7 (346명, 21.8%)","① 전혀 그렇지 않다
② 
③ 
④ 보통이다
⑤ 
⑥ 
⑦ 매우 그렇다"
q28_3,"28. [인공지능] 귀하는 평소 인공지능 서비스에 대해 어떤 생각을 가지고 계십니까? 다음 항목별로 해당하는 정도를 선택하여 주십시오.
_3. 인공지능 서비스는 나에게 심리적인 도움이나 즐거움을 준다","6 (440명, 27.7%)","5 (427명, 26.9%)","7 (331명, 20.9%)","① 전혀 그렇지 않다
② 
③ 
④ 보통이다
⑤ 
⑥ 
⑦ 매우 그렇다"
q28_4,"28. [인공지능] 귀하는 평소 인공지능 서비스에 대해 어떤 생각을 가지고 계십니까? 다음 항목별로 해당하는 정도를 선택하여 주십시오.
_4. 인공지능 서비스는 모두에게 공정하고 차별 없는 서비스이다","6 (424명, 26.7%)","5 (391명, 24.6%)","7 (300명, 18.9%)","① 전혀 그렇지 않다
② 
③ 
④ 보통이다
⑤ 
⑥ 
⑦ 매우 그렇다"
q28_5,"28. [인공지능] 귀하는 평소 인공지능 서비스에 대해 어떤 생각을 가지고 계십니까? 다음 항목별로 해당하는 정도를 선택하여 주십시오.
_5. 인공지능 서비스가 제공하는 정보나 결과물을 신뢰할 수 있다","6 (451명, 28.4%)","5 (437명, 27.5%)","4 (274명, 17.3%)","① 전혀 그렇지 않다
② 
③ 
④ 보통이다
⑤ 
⑥ 
⑦ 매우 그렇다"
q29_1,"29. 인공지능(AI) 시대를 선도하기 위해 수원시가 가장 시급하게 추진해야 하는 정책은 무엇이라고 생각하십니까? 시급하게 추진해야 한다고 생각하시는 순서대로 2가지를 응답해 주십시오. 
(1순위)","1 (409명, 25.8%)","3 (394명, 24.8%)","2 (375명, 23.6%)","① 시민 대상 AI 교육 확대 및 체험 프로그램 운영
② 지역 내 취약계층을 위한 일자리 및 복지 지원 강화
③ 청년·중장년 대상 신기술(디지털·AI 등) 직업 교육 프로그램 확대
④ 지역 AI 관련 스타트업 및 중소기업 지원
⑤ 수원시 조례 및 행정절차 개선을 통한 신기술 도입 촉진
⑥ 일자리 중개 서비스 강화 및 취약계층을 위한 일자리 안전망 구축
⑦ AI 기술 오남용 예방 및 시민 대상 AI 윤리 교육 강화
⑧ 기타 (                       )"
q29_2,"29. 인공지능(AI) 시대를 선도하기 위해 수원시가 가장 시급하게 추진해야 하는 정책은 무엇이라고 생각하십니까? 시급하게 추진해야 한다고 생각하시는 순서대로 2가지를 응답해 주십시오. 
(2순위)","3 (336명, 21.2%)","6 (316명, 19.9%)","2 (215명, 13.5%)","① 시민 대상 AI 교육 확대 및 체험 프로그램 운영
② 지역 내 취약계층을 위한 일자리 및 복지 지원 강화
③ 청년·중장년 대상 신기술(디지털·AI 등) 직업 교육 프로그램 확대
④ 지역 AI 관련 스타트업 및 중소기업 지원
⑤ 수원시 조례 및 행정절차 개선을 통한 신기술 도입 촉진
⑥ 일자리 중개 서비스 강화 및 취약계층을 위한 일자리 안전망 구축
⑦ AI 기술 오남용 예방 및 시민 대상 AI 윤리 교육 강화
⑧ 기타 (                       )"
q29_op,29. (기타 오픈응답),"nan (1585명, 99.9%)","AI산업은 이미 규모없이 뛰어들기 어려울 정도로 발전했기에, 대기업 위주의 AI 연구 지원과 우수 인력 확충이 시급함 (1명, 0.1%)","방범 (1명, 0.1%)",
q30_1,"30. 수원시가 인공지능(AI) 기술을 가장 우선적으로 활용해야 한다고 생각하는 분야는 어디인가요? 우선순위에 따라 2가지를 선택해 주세요. 
(1순위)","2 (312명, 19.7%)","4 (295명, 18.6%)","3 (271명, 17.1%)","① 시민 건강관리 및 지역 의료 서비스 개선
② 지역경제 활성화를 위한 금융 서비스 연계
③ 지역 제조업의 스마트화 및 자동화 지원
④ 도시 교통 흐름 개선 및 대중교통 서비스 향상
⑤ 학교 및 평생학습에서의 AI 기반 교육 확대
⑥ 지역 소상공인 대상 물류·유통 효율화 지원
⑦ 공공시설 에너지 효율 관리 및 절약 시스템 구축
⑧ 지역 문화유산 안내 및 스마트 관광 서비스 개발
⑨ 취약계층 맞춤형 복지 서비스 제공
⑩ 기타 (                       )"
q30_2,"30. 수원시가 인공지능(AI) 기술을 가장 우선적으로 활용해야 한다고 생각하는 분야는 어디인가요? 우선순위에 따라 2가지를 선택해 주세요. 
(2순위)","7 (249명, 15.7%)","4 (216명, 13.6%)","3 (216명, 13.6%)","① 시민 건강관리 및 지역 의료 서비스 개선
② 지역경제 활성화를 위한 금융 서비스 연계
③ 지역 제조업의 스마트화 및 자동화 지원
④ 도시 교통 흐름 개선 및 대중교통 서비스 향상
⑤ 학교 및 평생학습에서의 AI 기반 교육 확대
⑥ 지역 소상공인 대상 물류·유통 효율화 지원
⑦ 공공시설 에너지 효율 관리 및 절약 시스템 구축
⑧ 지역 문화유산 안내 및 스마트 관광 서비스 개발
⑨ 취약계층 맞춤형 복지 서비스 제공
⑩ 기타 (                       )"
q30_op,30. (기타 오픈응답),"nan (1585명, 99.9%)","주차관리 (1명, 0.1%)","AI가 문제가 아니라, 보행안전 위협하는 전동킥보드 전기자전거 퇴출과 위험하게 우회전하는 차량 단속이 더 시급. 뭘 자꾸 얹으려하지말고 필요없고 불편한 것들을 없애는게 더 중요함. (1명, 0.1%)",
DM1,성별,"2 (824명, 51.9%)","1 (763명, 48.1%)",,"① 남성
② 여성"
DM2,나이 ,"40 (173명, 10.9%)","33 (100명, 6.3%)","32 (95명, 6.0%)",세
DM2_1,연령,"2 (701명, 44.2%)","3 (418명, 26.3%)","1 (229명, 14.4%)","① 20대 이하
② 30대
③ 40대
④ 50대
⑤ 60대 이상"
DM3,학력,"4 (1006명, 63.4%)","2 (272명, 17.1%)","3 (195명, 12.3%)","① 중졸이하
② 고졸
③ 전문대졸
④ 대학(4년제)
⑤ 대학원졸"
DM4,혼인상태,"2 (824명, 51.9%)","1 (696명, 43.9%)","3 (51명, 3.2%)","① 기혼
② 미혼
③ 이혼
④ 별거
⑤ 사별
⑥ 동거"
DM5,가구원 수,"1 (493명, 31.1%)","3 (421명, 26.5%)","2 (357명, 22.5%)",명
DM6,맞벌이 가구,"3 (575명, 36.2%)","2 (510명, 32.1%)","1 (502명, 31.6%)","① 맞벌이
② 비맞벌이
③ 비해당 "
DM7,미취학 자녀 유무,"2 (1427명, 89.9%)","1 (160명, 10.1%)",,"① 있음 
② 없음"
